GL1H5E120AT0000QTC+21116646A21,0.51,0.61,0.51
GL1H5E1102T0000QTC+21132823B21,0.75,0.78,0.69
GL1H5E1102V0000QTC+21128616321,0.56,0.65,0.55
GL1H5E1102W0000QTC+21124356121,0.66,0.67,0.73
GL1H5E1103D0000QTC+21166834721,0.62,0.73,0.66
GL1H5E1103Y0000QTC+21132144A21,0.62,0.72,0.66
GL1H5E1104S0000QTC+21168144621,0.53,0.63,0.53
GL1H5E1105W0000QTC+21131235521,0.53,0.63,0.53
GL1H5E1106J0000QTC+21146523B21,0.52,0.62,0.53
GL1H5E1106M0000QTC+21185136221,0.53,0.63,0.52
GL1H5E1209T0000QTC+21112125121,0.53,0.63,0.52
GL1H5E110120000QTC+21127136A21,0.54,0.63,0.52
GL1H5E110190000QTC+21125283921,0.54,0.62,0.52
GL1H5E110480000QTC+21128873821,0.53,0.63,0.52
GL1H5F110A00000QTC+21165145521,0.53,0.63,0.52
GL1H5F110AC0000QTC+21154114B21,0.54,0.63,0.52
GL1H5F110AQ0000QTC+21141575821,0.53,0.63,0.52
GL1H5F110B20000QTC+21136625821,0.53,0.64,0.52
GL1H5F110BB0000QTC+21165653721,0.53,0.63,0.51
GL1H5F110BD0000QTC+21111525821,0.52,0.61,0.51
GL1H5F110BH0000QTC+21146233821,0.52,0.62,0.51
GL1H5F110BU0000QTC+21161733321,0.52,0.63,0.52
GL1H5F110CD0000QTC+21172545B21,0.52,0.62,0.5
GL1H5F110CL0000QTC+21132234521,0.52,0.62,0.52
GL1H5F110CT0000QTC+21173114821,0.52,0.61,0.52
GL1H5F110EP0000QTC+21118136C21,0.52,0.6,0.51
GL1H5F110EZ0000QTC+21111824421,0.54,0.57,0.55
GL1H5F110F10000QTC+21157834721,0.52,0.58,0.55
GL1H5F110F90000QTC+21158544721,0.54,0.57,0.55
GL1H5F110FP0000QTC+21265365521,0.53,0.58,0.56
GL1H5F1106C0000QTC+21124675121,0.53,0.57,0.55
GL1H5F1107E0000QTC+21112744A21,0.54,0.58,0.55
